31.3,31.4
27.2,28
23.3,24.6
56.2,34
47.7,30.1
39.2,26.2
78.1,39.4
71.8,33.4
64.9,27.4
62,35
54,32
46,29
64.7,38
51,32
37.3,26
64.7,39
51,32
37.3,25
37.3,27
51,32
64.7,37
76,33.5
62,29.8
48,26.1
65,34
48,30
31,26
60,35
45,31
30,27
30,30.3
25,27.5
20,24.7
80,37.5
75,33.2
70,28.9
82,33.4
50,29.5
18,25.6
62,35
54,32
46,29
37,24
51,28
65,32
37,25
51,28
65,31
35,28.8
40,30.2
45,31.1
35,30.3
40,31.1
45,33.2
45,29.8
49.5,31.5
54,32.8
45,32.6
49.5,33.5
54,34.9
55,32.2
59.5,33.5
64,33.7
55,34.5
59.5,34.7
64,36.8
65,33.9
70,33.9
75,35.1
65,36.2
70,36.7
75,38.6
